City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
Brae,GB,48.2,60.4,-1.35,76,0,18.34
Maumere,ID,86.21,-8.63,122.22,62,33,7.23
Beidao,CN,66.53,34.57,105.89,57,3,5.06
Middle Island,US,54.73,40.88,-72.94,93,90,8.05
Marrakesh,MA,59,31.63,-7.99,77,75,9.17
Bismarck,US,56.82,46.81,-100.78,30,1,3.91
Micheweni,TZ,83.27,-4.97,39.83,78,100,17.16
Kiama,AU,72.27,-34.67,150.86,64,40,3.36
Kenai,US,38.66,60.55,-151.26,47,40,19.46
Raudeberg,NO,50.74,61.99,5.14,66,0,10.29
Fairbanks,US,49.93,64.84,-147.72,34,90,13.87
Garowe,SO,78.63,8.41,48.48,75,100,11.01
Shetpe,KZ,47.85,44.14,52.16,38,0,6.85
Sioux Falls,US,47.25,43.55,-96.7,93,1,6.93
Parrita,CR,69.28,9.52,-84.33,68,0,14.99
Dhidhdhoo,MV,84.86,6.88,73.1,75,86,14.92
Kungurtug,RU,36.17,50.6,97.53,25,0,2.46
Buala,SB,84.33,-8.15,159.59,75,71,7.63
LOS ALGARROBOS,EC,86.43,-3.25,-79.94,65,75,8.05
Comodoro Rivadavia,AR,60.8,-45.87,-67.48,41,0,11.41
Mosquera,CO,55.4,4.71,-74.23,87,75,2.24
Jambi,ID,87.2,-1.6,103.62,65,100,3.8
Villa Corzo,MX,86,16.19,-93.27,40,5,13.87
Pangai,TO,82.4,-19.8,-174.35,61,40,19.46
Yenagoa,NG,76.69,4.92,6.26,94,100,3.11
Saint-Pierre,FR,51.46,48.95,4.24,66,0,5.82
Zhireken,RU,30.28,52.82,117.29,51,79,16.15
Thunder Bay,CA,41.85,48.41,-89.26,70,75,8.05
Aksarka,RU,25.4,66.56,67.8,86,21,10.51
Waynesville,US,70.93,37.83,-92.2,77,1,8.05
Hutchinson,US,61.38,38.06,-97.93,77,90,9.17
Eyl,SO,79.44,7.98,49.82,77,100,9.04
Fort Nelson,CA,57.2,58.81,-122.69,44,75,11.41
Zeya,RU,38.09,53.74,127.27,38,100,7.83
Sisimiut,GL,30.8,66.94,-53.67,78,100,14.47
Bitkine,TD,86.48,11.98,18.21,11,46,5.53
Bontang,ID,91.12,0.12,117.47,47,73,4.45
Prince Rupert,CA,46.4,54.32,-130.32,70,90,5.82
Moron,VE,73.39,10.49,-68.2,92,90,0.54
Wamba,CD,67.54,2.14,27.99,99,99,2.21
Avera,US,61.95,33.19,-82.53,72,1,3.6
Dingle,PH,90.6,11,122.67,49,53,15.26
Geraldton,CA,42.8,49.72,-86.95,38,75,10.29
Kitab,UZ,50,39.12,66.88,87,75,6.93
Paciran,ID,86.96,-6.9,112.33,63,91,7.34
Ornskoldsvik,SE,32.2,63.29,18.72,92,18,2.24
Buta,CD,71.37,2.79,24.73,91,88,1.79
Pacifica,US,65.21,37.61,-122.49,76,1,9.17
Maniitsoq,GL,20.96,65.42,-52.9,96,100,13.73
Biak,ID,72.69,-0.91,122.88,87,85,3.8
Sukumo,JP,71.23,32.94,132.72,67,100,9.95
Honiara,SB,89.6,-9.43,159.96,70,40,8.05
Mandalgovi,MN,42.85,45.76,106.27,58,100,16.69
Bilibino,RU,19.84,68.06,166.44,76,0,4.79
Wilmington,US,59.68,39.75,-75.55,59,1,3.36
Quesnel,CA,64.4,52.98,-122.49,23,75,11.41
Nhulunbuy,AU,84.2,-12.18,136.78,66,40,11.41
Gazli,UZ,58.2,40.13,63.45,35,76,15.37
Kapuskasing,CA,35.6,49.42,-82.43,69,75,4.7
Havelock,US,61.74,34.88,-76.9,72,1,5.82
Cukai,MY,82.4,4.25,103.42,83,75,2.24
Zabol,IR,82.88,31.03,61.49,28,0,3.67
Chara,GR,52.66,39.42,22.43,81,75,1.52
Naryan-Mar,RU,20.11,67.67,53.09,88,28,6.31
Hirado,JP,67.48,33.32,129.49,88,100,6.93
Rio Grande,BR,55.26,-32.03,-52.1,84,0,3.11
Salgueiro,BR,70.94,-8.07,-39.12,75,26,7.74
Dukat,RS,48,42.44,22.31,85,96,3
Doka,SD,82.01,13.52,35.76,21,46,7.61
Ekhabi,RU,35.01,53.51,142.97,80,0,2.17
Winnemucca,US,65.79,40.97,-117.74,16,1,8.05
Okha,RU,35.01,53.59,142.95,80,0,2.17
Mbala,ZM,61.47,-8.85,31.37,97,100,6.24
Banff,CA,28.03,51.18,-115.57,96,65,7.7
Hobyo,SO,82.61,5.35,48.53,75,94,10.6
Znamenka,RU,51.07,52.41,41.44,57,72,4.72
Shimoda,JP,69.98,34.7,138.93,63,75,14.99
Barcelos,PT,47.88,41.53,-8.62,76,20,6.93
Maine-Soroa,NE,84.19,13.21,12.02,11,0,12.3
Axim,GH,81.17,4.87,-2.24,85,64,9.26
Altay,CN,35.86,47.83,88.13,54,2,6.02
Havre-Saint-Pierre,CA,30.2,50.23,-63.6,92,40,5.82
Grand-Santi,GF,72.6,4.27,-54.38,99,81,2.01
Umm Lajj,SA,72.56,25.02,37.27,56,0,18.48
Ust-Nera,RU,26.39,64.57,143.24,73,46,5.14
Alcaniz,ES,47.52,41.05,-0.13,91,75,5.99
Jega,NG,87.94,12.22,4.38,49,100,9.93
Turukhansk,RU,34.19,65.8,87.96,97,100,18.3
Harnai,PK,81.72,30.1,67.94,16,0,3.69
Dayong,PH,83.52,11.74,122.04,70,50,17.16
Linxia,CN,65.72,35.6,103.21,24,0,0.36
Matadi,CD,75.37,-5.83,13.46,97,45,2.8
Nassau,DE,47.21,51.17,13.51,70,0,8.05
Alcazar de San Juan,ES,53.01,39.39,-3.21,81,100,7
Pierre,US,56.91,44.37,-100.35,38,1,6.93
Ranong,TH,84.2,9.96,98.62,79,40,4.7
Bhatapara,IN,93.64,21.77,81.81,15,0,3.69
La Crosse,US,50.56,43.8,-91.24,100,90,10.29
Urucara,BR,75.48,-2.54,-57.76,91,99,1.54
Kuryk,KZ,50.42,43.18,51.68,37,75,8.28
Waitati,NZ,60.29,-45.75,170.57,75,44,3.51
Goma,CD,56.31,-1.67,29.23,96,98,2.26
Nouadhibou,MR,62.6,20.93,-17.03,93,97,13.87
